Artist,Track,Album,Album_type,Genre,Views,Likes,Licensed,Stream,Most_playedon,Popularity_score,Views_Normalized,Likes_Normalized,Stream_Normalized
Ajay-Atul,Chikni Chameli,Agneepath (Original Motion Picture Soundtrack),album,Pop,"309,781,761","1,712,860",TRUE,"26,872,207",Youtube,"338,366,828",0.05243075,0.055168518,0.00793505
The Cramps,Bikini Girls with Machine Guns,Stay Sick!,album,Pop,"2,086,338","11,583",FALSE,"3,659,613",Spotify,"5,757,534",0.000353114,0.00037307,0.001080641
Bizarrap,Bottas,Sr. Santos,album,Pop,"7,088,475","239,478",TRUE,"14,679,203",Spotify,"22,007,156",0.001199729,0.007713208,0.004334598
The Kiboomers,The Floor is Lava Song for Kids,The Floor is Lava Song for Kids,single,Pop,"181,162,207","241,927",TRUE,"9,966,101",Youtube,"191,370,235",0.030661813,0.007792087,0.002942874
Lil Tecca,Come Through (feat. Lil Tecca),Come Through (feat. Lil Tecca),single,Pop,"2,885,437","50,001",TRUE,"55,682,513",Spotify,"58,617,951",0.000488362,0.001610453,0.016442398
KISS,I Was Made For Lovin' You - Single Mix,KISS 40,compilation,Pop,"500,079,650","4,164,366",TRUE,"12,706,942",Youtube,"516,950,958",0.084638782,0.134127657,0.003752212
Nusrat Fateh Ali Khan,Hai Kahan Ka Irada,"Revamped, Vol. 3 (Remix)",album,Pop,"6,416,977","91,901",TRUE,"1,926,052",Youtube,"8,434,930",0.001086077,0.002959986,0.000568741
11:11 Music Group,"eyes blue or brown, can't remember","eyes blue or brown, can't remember",single,Pop,"221,228","2,813",FALSE,"26,488,952",Spotify,"26,712,993",3.7443E-05,9.06023E-05,0.007821879
Yiruma,River Flows in You - Orchestra Version,The Rewritten Memories,album,Pop,"445,522","4,589",FALSE,"8,770,855",Spotify,"9,220,966",7.54049E-05,0.000147804,0.002589931
Connor Price,Gasoline,Gasoline,single,Pop,"236,174","4,417",TRUE,"18,985,508",Spotify,"19,226,099",3.99726E-05,0.000142265,0.005606199
Frédéric Chopin,"Nocturne No. 2 in E-Flat Major, Op. 9 No. 2",Chopin: Nocturnes,album,Pop,"213,646,433","2,230,373",TRUE,"75,768,932",Youtube,"291,645,738",0.036159787,0.071836795,0.022373683
Chris Stapleton,Joy Of My Life,Starting Over,album,Pop,"11,508,697","54,962",TRUE,"57,249,686",Spotify,"68,813,345",0.001947854,0.001770239,0.016905166
Destiny's Child,Lose My Breath,Destiny Fulfilled,album,Pop,"127,208,450","614,864",TRUE,"104,899,869",Youtube,"232,723,183",0.021530107,0.019803799,0.03097571
Mohit Chauhan,Tujhe Bhula Diya,Anjaana Anjaani,album,Pop,"108,416,965","1,173,844",TRUE,"50,414,439",Youtube,"160,005,248",0.018349637,0.037807663,0.014886797
Rekha Bhardwaj,Aise Kyun - Ghazal Version,Mismatched: Season 2 (Music from the Netflix Series),album,Pop,"9,258,013","177,620",TRUE,"28,104,503",Spotify,"37,540,136",0.001566924,0.00572086,0.008298932
R. Kelly,Cookie,Black Panties (Deluxe Version),album,Pop,"9,232,345","64,346",FALSE,"51,498,385",Spotify,"60,795,076",0.00156258,0.002072483,0.015206873
Banda Machos,Historia sin fin,Historia sin fin,album,Pop,"417,902","1,945",FALSE,"66,463,599",Spotify,"66,883,446",7.07302E-05,6.26454E-05,0.019625927
Galantis,Run (with Galantis),Only Honest On The Weekend (Deluxe),album,Pop,"9,139,126","71,173",TRUE,"60,811,787",Spotify,"70,022,086",0.001546803,0.00229237,0.017957012
Elevation Worship,LION (feat. Chris Brown & Brandon Lake),LION,album,Pop,"25,780,642","282,010",TRUE,"18,835,632",Youtube,"44,898,284",0.004363389,0.009083097,0.005561943
Prince,"Little Red Corvette - 7"" Edit - 2019 Remaster",1999 (Super Deluxe Edition),album,Pop,"36,132,559","232,658",TRUE,0,Youtube,"36,365,217",0.006115457,0.007493547,0
Claude Debussy,"Rêverie, L. 68: Rêverie","Debussy: Complete Works for Solo Piano, Vol.1",album,Pop,"15,974,768","107,236",FALSE,"51,210,863",Spotify,"67,292,867",0.002703739,0.003453902,0.015121971
Faith Hill,Breathe,Breathe,album,Pop,"32,119,215","196,953",TRUE,"104,125,277",Spotify,"136,441,445",0.005436196,0.006343545,0.030746982
H.E.R.,Damage,Back of My Mind,album,Pop,"142,933,399","1,074,786",TRUE,"82,524,966",Youtube,"226,533,151",0.024191564,0.034617161,0.024368661
Outkast,Player's Ball,Southernplayalisticadillacmuzik,album,Pop,"9,750,595","105,443",TRUE,"41,610,291",Spotify,"51,466,329",0.001650294,0.003396153,0.012287034
2Pac,2 Of Amerikaz Most Wanted (ft. Snoop Doggy Dogg),All Eyez On Me,album,Pop,"18,949,722","251,281",FALSE,"178,709,066",Spotify,"197,910,069",0.003207252,0.008093364,0.052770706
Mabel,Mad Love - Blinkie Remix,Mad Love (Remixes),single,Pop,"3,424,359","30,250",FALSE,"56,188,545",Spotify,"59,643,154",0.000579575,0.000974305,0.016591823
De La Ghetto,ULTRA SOLO REMIX,ULTRA SOLO REMIX,single,Pop,"140,641,090","1,146,290",FALSE,"215,026,398",Spotify,"356,813,778",0.023803589,0.036920192,0.063494791
Lamb of God,Laid to Rest,Ashes of the Wake (15th Anniversary),album,Pop,"21,459,553","169,749",TRUE,"107,661,259",Spotify,"129,290,561",0.003632042,0.005467347,0.031791116
Rod Stewart,Have I Told You Lately - 2008 Remaster,Vagabond Heart (Expanded Edition),album,Pop,"20,536,490","110,124",FALSE,"103,721,988",Spotify,"124,368,602",0.003475813,0.00354692,0.030627895
C418,Haggstrom,Minecraft - Volume Alpha,album,Pop,"3,579,767","96,181",TRUE,"33,958,892",Spotify,"37,634,840",0.000605878,0.003097838,0.010027665
